カテゴリ,品名,単位,1単位の目安g,数え方,別名(検索用),数値の作り方,備考
副菜・野菜,ぬか漬け 小鉢1,人前,40,人前(0.5刻み),ぬかづけ,転記,
副菜・野菜,たくあん 3切れ,人前,20,人前(0.5刻み),たくあん,転記,
副菜・野菜,梅きゅうり 小鉢1,人前,60,人前(0.5刻み),うめきゅう,積算,
副菜・野菜,もずく酢 1パック,個,70,個,もずく,転記,
副菜・野菜,めかぶ 1パック,個,50,個,めかぶ,転記,
副菜・野菜,ところてん 1パック,個,150,個,ところてん,転記,
副菜・野菜,紅白なます 小鉢1,人前,50,人前(0.5刻み),なます,転記,成分表にあり
副菜・野菜,酢の物(わかめ・きゅうり) 小鉢1,人前,60,人前(0.5刻み),すのもの,転記,成分表にあり
副菜・野菜,白和え 小鉢1,人前,70,人前(0.5刻み),しらあえ,転記,成分表にあり
副菜・野菜,青菜の白和え 小鉢1,人前,70,人前(0.5刻み),あおな,転記,成分表にあり
副菜・野菜,とろろ(長芋すりおろし) 小鉢1,人前,80,人前(0.5刻み),とろろ/ながいも,転記,
副菜・野菜,焼きいも(中1本) 1本,本,200,本(0.5刻み),やきいも,転記,既存さつまいもg指定と二本立て
副菜・野菜,ふかし芋 1人前,人前,120,人前(0.5刻み),ふかしいも,転記,
副菜・野菜,フライドポテト 1人前,人前,120,人前(0.5刻み),ぽてと/フライドポテト,転記,成分表にあり
洋食おかず,エビグラタン 1人前,人前,300,人前(0.5刻み),えびぐらたん,積算,
洋食おかず,シチュー(クリーム) 1皿,人前,300,人前(0.5刻み),しちゅー/ホワイトシチュー,転記,成分表にあり
洋食おかず,ビーフシチュー 1皿,人前,300,人前(0.5刻み),びーふしちゅー,転記,成分表にあり
洋食おかず,オムレツ(チーズ) 1個,人前,140,人前(0.5刻み),ちーずおむれつ,積算,
洋食おかず,キッシュ 1切れ,個,100,個,きっしゅ,積算,
洋食おかず,アヒージョ(エビ・きのこ) 1人前,人前,120,人前(0.5刻み),あひーじょ,積算,パン別
洋食おかず,チキンナゲット 5個,人前,100,人前(0.5刻み),なげっと,転記,成分表にあり
洋食おかず,フライドチキン 1個,個,90,個,ふらいどちきん/ケンタ,積算,
洋食おかず,ハンバーガー 1個,個,110,個,はんばーがー,転記,成分表にあり
洋食おかず,チーズバーガー 1個,個,120,個,ちーずばーがー,積算,
洋食おかず,ミックスフライ盛り合わせ 1人前,人前,180,人前(0.5刻み),みっくすふらい,積算,エビ・白身・コロッケ
洋食おかず,カニクリームコロッケ 1個,個,70,個,かにくりーむ,転記,成分表にあり
洋食おかず,チーズフォンデュ 1人前,人前,150,人前(0.5刻み),ふぉんでゅ,積算,パン込み
洋食おかず,タンドリーチキン 1人前,人前,150,人前(0.5刻み),たんどりー,積算,
洋食おかず,チーズタッカルビ 1人前,人前,250,人前(0.5刻み),たっかるび,積算,
洋食おかず,トッポギ 1人前,人前,150,人前(0.5刻み),とっぽぎ,積算,
洋食おかず,チヂミ 1枚,枚,200,枚(0.5刻み),ちぢみ,積算,
洋食おかず,キンパ 1本,本,250,本(0.5刻み),きんぱ/韓国のり巻き,積算,
洋食おかず,生春巻き 1本,本,80,本,なまはるまき,積算,
洋食おかず,ケバブ(チキン) 1人前,人前,150,人前(0.5刻み),けばぶ,積算,
コンビニ・市販,コンビニおにぎり 1個,個,110,個,こんびにおにぎり,市販平均,具平均・鮭ツナ等は主食欄
コンビニ・市販,サラダチキンバー 1本,本,60,本,ちきんばー,市販平均,
コンビニ・市販,スモークチキン 1袋,個,80,個,すもーくちきん,市販平均,
コンビニ・市販,焼き鳥缶 1缶,個,75,個,やきとりかん,市販平均,
コンビニ・市販,コンビニ幕の内弁当 1個,個,450,個,まくのうち/弁当,市販平均,
コンビニ・市販,コンビニのり弁当 1個,個,400,個,のりべん,市販平均,
コンビニ・市販,コンビニ唐揚げ弁当 1個,個,450,個,からあげべんとう,市販平均,
コンビニ・市販,コンビニパスタ(ミート) 1個,個,300,個,こんびにぱすた,市販平均,
コンビニ・市販,コンビニサンドイッチ(ミックス) 1包装,個,140,個,こんびにさんど,市販平均,
コンビニ・市販,コンビニ冷やし中華 1個,個,400,個,こんびにひやしちゅうか,市販平均,
コンビニ・市販,コンビニおでんセット 1人前,人前,350,人前(0.5刻み),こんびにおでん,市販平均,
コンビニ・市販,肉まん 1個,個,110,個,にくまん,転記,成分表にあり
コンビニ・市販,あんまん 1個,個,100,個,あんまん,転記,成分表にあり
コンビニ・市販,ピザまん 1個,個,100,個,ぴざまん,市販平均,
コンビニ・市販,アメリカンドッグ 1本,本,100,本,あめりかんどっぐ,転記,成分表にあり
コンビニ・市販,フランクフルト 1本,本,90,本,ふらんくふると,積算,
コンビニ・市販,コンビニホットスナック(からあげ) 5個,人前,125,人前(0.5刻み),ほっとすなっく/ななちき,市販平均,
コンビニ・市販,カットサラダ+蒸し鶏 1袋,個,150,個,かっとさらだ,市販平均,
コンビニ・市販,冷凍餃子(調理後) 5個,人前,125,人前(0.5刻み),れいとうぎょうざ,市販平均,
コンビニ・市販,冷凍チャーハン 1人前,人前,250,人前(0.5刻み),れいとうちゃーはん,市販平均,
コンビニ・市販,冷凍うどん(素うどん) 1玉,個,200,個,れいとううどん,転記,
コンビニ・市販,カップ味噌汁 1個,個,160,個,かっぷみそしる,市販平均,
コンビニ・市販,カップ春雨スープ 1個,個,160,個,はるさめすーぷ,市販平均,
コンビニ・市販,ゼリー飲料(エネルギー系) 1個,個,180,個,ぜりーいんりょう/ウィダー,市販平均,
コンビニ・市販,プロテインドリンク(紙パック) 1本,本,200,本,ぷろていんどりんく/ザバス,市販平均,
コンビニ・市販,プロテインバー 1本,本,40,本,ぷろていんばー,市販平均,
コンビニ・市販,ゆで卵(味付き・市販) 1個,個,50,個,あじたま,市販平均,
コンビニ・市販,チーズ(6P) 1個,個,15,個,ろっぴーちーず,転記,
コンビニ・市販,小魚アーモンド 1袋,個,25,個,こざかな,市販平均,
コンビニ・市販,ミックスナッツ(小袋) 1袋,個,25,個,なっつ,転記,
コンビニ・市販,するめ・あたりめ 1つかみ,人前,20,人前(0.5刻み),するめ/あたりめ,転記,
コンビニ・市販,ビーフジャーキー 1袋,個,30,個,じゃーきー,転記,
コンビニ・市販,茎わかめ 1袋,個,60,個,くきわかめ,市販平均,
コンビニ・市販,干し芋 1袋,個,60,個,ほしいも,転記,
間食・デザート,ショートケーキ 1切れ,個,110,個,けーき/しょーとけーき,転記,成分表にあり
間食・デザート,チョコレートケーキ 1切れ,個,100,個,ちょこけーき/ガトーショコラ,積算,
間食・デザート,チーズケーキ 1切れ,個,100,個,ちーずけーき,転記,成分表にあり
間食・デザート,シュークリーム 1個,個,70,個,しゅーくりーむ,転記,成分表にあり
間食・デザート,エクレア 1個,個,80,個,えくれあ,転記,
間食・デザート,プリン 1個,個,90,個,ぷりん,転記,成分表にあり
間食・デザート,ゼリー(果物) 1個,個,150,個,ぜりー,転記,
間食・デザート,杏仁豆腐 1個,個,120,個,あんにん,積算,
間食・デザート,アイスクリーム(バニラ) 1個,個,110,個,あいす,転記,
間食・デザート,ソフトクリーム 1個,個,120,個,そふとくりーむ,転記,
間食・デザート,かき氷(シロップ) 1杯,杯,200,杯(0.5刻み),かきごおり,積算,
間食・デザート,大福 1個,個,70,個,だいふく,転記,成分表にあり
間食・デザート,どら焼き 1個,個,70,個,どらやき,転記,成分表にあり
間食・デザート,たい焼き 1個,個,100,個,たいやき,転記,
間食・デザート,みたらし団子 1本,本,60,本,だんご/みたらし,転記,成分表にあり
間食・デザート,おはぎ 1個,個,80,個,おはぎ/ぼたもち,転記,
間食・デザート,カステラ 1切れ,個,50,個,かすてら,転記,成分表にあり
間食・デザート,ようかん 1切れ,個,50,個,ようかん,転記,成分表にあり
間食・デザート,わらび餅 1人前,人前,120,人前(0.5刻み),わらびもち,転記,
間食・デザート,クッキー 1枚,枚,10,枚,くっきー/ビスケット,転記,
間食・デザート,チョコレート(板チョコ) 1かけ,個,5,個,ちょこ/チョコ,転記,
間食・デザート,ポテトチップス 1袋(60g),個,60,個,ぽてち,転記,
間食・デザート,ポテトチップス 小袋(28g),個,28,個,ぽてちしょう,転記,
間食・デザート,せんべい 1枚,枚,15,枚,せんべい,転記,
間食・デザート,柿の種(小袋) 1袋,個,30,個,かきのたね,市販平均,
間食・デザート,ポップコーン 1袋,個,50,個,ぽっぷこーん,転記,
間食・デザート,グミ 1袋,個,50,個,ぐみ,市販平均,
間食・デザート,ラムネ菓子 1本,個,29,個,らむね/ブドウ糖,市販平均,
間食・デザート,カロリーメイト 1本,本,20,本,かろりーめいと,市販平均,
間食・デザート,ドーナツ(オールドファッション) 1個,個,60,個,どーなつ,転記,成分表にあり
間食・デザート,ワッフル 1個,個,60,個,わっふる,転記,
間食・デザート,マカロン 1個,個,20,個,まかろん,積算,
間食・デザート,みかん 1個,個,80,個,みかん,転記,可食部
間食・デザート,りんご 1/2個,個,125,個,りんご,転記,可食部
間食・デザート,キウイ 1個,個,85,個,きうい/キウイ,転記,可食部
間食・デザート,ぶどう(シャインマスカット等) 10粒,人前,100,人前(0.5刻み),ぶどう/マスカット,転記,
間食・デザート,いちご 5粒,人前,75,人前(0.5刻み),いちご,転記,
間食・デザート,梨 1/2個,個,130,個,なし,転記,可食部
間食・デザート,桃 1個,個,170,個,もも,転記,可食部
間食・デザート,柿 1個,個,150,個,かき(果物),転記,可食部
間食・デザート,スイカ 1切れ,個,200,個,すいか,転記,可食部
間食・デザート,パイナップル 3切れ,人前,90,人前(0.5刻み),ぱいなっぷる,転記,
間食・デザート,ミックスフルーツ(カップ) 1個,個,130,個,ふるーつ,市販平均,
間食・デザート,ドライフルーツ(小袋) 1袋,個,30,個,どらいふるーつ,転記,
飲料・酒,水・お茶 0kcal,杯,200,杯,みず/おちゃ/緑茶,転記,記録用0kcal
飲料・酒,ブラックコーヒー 1杯,杯,150,杯,こーひー/珈琲,転記,
飲料・酒,カフェラテ(ミルク入り) 1杯,杯,200,杯(0.5刻み),かふぇらて/カフェオレ,積算,
飲料・酒,カフェラテ(無糖・コンビニ) 1杯,杯,240,杯,むとうらて,市販平均,
飲料・酒,紅茶(無糖) 1杯,杯,150,杯,こうちゃ,転記,
飲料・酒,ミルクティー(加糖) 1杯,杯,200,杯(0.5刻み),みるくてぃー,積算,
飲料・酒,オレンジジュース コップ1杯,杯,200,杯(0.5刻み),おれんじじゅーす,転記,
飲料・酒,りんごジュース コップ1杯,杯,200,杯(0.5刻み),りんごじゅーす,転記,
飲料・酒,野菜ジュース 1本,本,200,本,やさいじゅーす,市販平均,
飲料・酒,スポーツドリンク 1本(500ml),本,500,本,すぽどり/ポカリ,市販平均,
飲料・酒,コーラ 1本(500ml),本,500,本,こーら,転記,
飲料・酒,コーラ(ゼロ) 1本,本,500,本,ぜろこーら,市販平均,0kcal
飲料・酒,サイダー 1本(500ml),本,500,本,さいだー,転記,
飲料・酒,エナジードリンク 1本,本,250,本,えなじー/レッドブル/モンスター,市販平均,
飲料・酒,甘酒 1杯,杯,150,杯(0.5刻み),あまざけ,転記,
飲料・酒,ビール 中ジョッキ1杯,杯,435,杯(0.5刻み),びーる/生ビール,転記,
飲料・酒,ビール 缶(350ml),本,350,本,かんびーる,転記,
飲料・酒,発泡酒 缶(350ml),本,350,本,はっぽうしゅ,転記,
飲料・酒,ノンアルコールビール 1本,本,350,本,のんある,市販平均,
飲料・酒,レモンサワー 1杯,杯,350,杯(0.5刻み),れもんさわー/チューハイ,積算,
飲料・酒,ストロング系チューハイ 缶(350ml),本,350,本,すとろんぐ,市販平均,
飲料・酒,日本酒 1合,杯,180,杯(0.5刻み),にほんしゅ/清酒,転記,
飲料・酒,焼酎(ロック) 1杯,杯,60,杯(0.5刻み),しょうちゅう,転記,
飲料・酒,ウイスキー(シングル) 1杯,杯,30,杯(0.5刻み),ういすきー,転記,ハイボールは既存
飲料・酒,ワイン(赤) グラス1杯,杯,120,杯(0.5刻み),あかわいん/ワイン,転記,
飲料・酒,ワイン(白) グラス1杯,杯,120,杯(0.5刻み),しろわいん,転記,
飲料・酒,梅酒(ロック) 1杯,杯,60,杯(0.5刻み),うめしゅ,転記,
調味・トッピング,マヨネーズ 大さじ1,杯,12,杯,まよねーず/マヨ,転記,
調味・トッピング,ケチャップ 大さじ1,杯,15,杯,けちゃっぷ,転記,
調味・トッピング,和風ドレッシング 大さじ1,杯,15,杯,どれっしんぐ,転記,
調味・トッピング,ごまドレッシング 大さじ1,杯,15,杯,ごまどれ,転記,
調味・トッピング,ノンオイルドレッシング 大さじ1,杯,15,杯,のんおいる,市販平均,
調味・トッピング,焼肉のタレ 大さじ1,杯,18,杯,やきにくのたれ,転記,
調味・トッピング,ポン酢 大さじ1,杯,18,杯,ぽんず,転記,
調味・トッピング,めんつゆ(ストレート) 100ml,g,100,g(10刻み),めんつゆ,転記,
調味・トッピング,ソース(中濃) 大さじ1,杯,18,杯,そーす,転記,
調味・トッピング,バター 10g,g,10,g(10刻み)※5刻み要検討,ばたー,転記,
調味・トッピング,ジャム(いちご) 大さじ1,杯,20,杯,じゃむ,転記,
調味・トッピング,ピーナッツバター 大さじ1,杯,17,杯,ぴーなっつばたー,転記,
調味・トッピング,粉チーズ 大さじ1,杯,6,杯,こなちーず/パルメザン,転記,
調味・トッピング,すりごま 大さじ1,杯,9,杯,ごま,転記,
調味・トッピング,天かす 大さじ2,杯,10,杯,てんかす/揚げ玉,転記,
主食,ナン 1枚,枚,80,枚,なん,転記,カレーと
主食,卵かけごはん 1杯,杯,210,杯(0.5刻み),たまごかけ/TKG,積算,ごはん150g+卵1個+醤油
主食,お茶漬け 1杯,杯,230,杯(0.5刻み),おちゃづけ,積算,
主食,ライ麦パン 1枚,枚,60,枚,らいむぎぱん,転記,特典18で言及
主食,ベースブレッド 1袋,個,70,個,べーすぶれっど/BASE,市販平均,筋トレ民定番
丼・ワンプレート,天津飯 1杯,杯,450,杯(0.5刻み),てんしんはん,積算,ごはん250g込み
肉料理,チキンカツ 1枚,枚,130,枚(0.5刻み),ちきんかつ,積算,
肉料理,串カツ(豚) 1本,本,40,本,くしかつ,積算,
肉料理,小籠包 1個,個,30,個,しょうろんぽう,積算,
肉料理,焼き鳥(つくね) 1本,本,45,本,つくね,積算,
肉料理,焼き鳥(砂肝) 1本,本,35,本,すなぎも,積算,
肉料理,八宝菜 1人前,人前,220,人前(0.5刻み),はっぽうさい,転記,成分表にあり
肉料理,麻婆春雨 1人前,人前,180,人前(0.5刻み),まーぼーはるさめ,積算,
麺類,皿うどん 1人前,人前,350,人前(0.5刻み),さらうどん,積算,
副菜・野菜,春雨サラダ 小鉢1,人前,70,人前(0.5刻み),はるさめさらだ,積算,
副菜・野菜,がんもどきの煮物 1個,個,80,個,がんも,転記,
魚料理,明太子 1腹,個,30,個,めんたいこ/たらこ,転記,
間食・デザート,パフェ(いちご・チョコ) 1個,個,220,個,ぱふぇ,積算,
間食・デザート,クレープ(チョコバナナ) 1個,個,150,個,くれーぷ,積算,
飲料・酒,タピオカミルクティー 1杯,杯,350,杯,たぴおか,市販平均,
飲料・酒,グリーンスムージー 1杯,杯,250,杯,すむーじー,市販平均,
飲料・酒,青汁 1杯,杯,150,杯,あおじる,市販平均,
素材(追加),卵白 1個分,個,35,個,らんぱく,転記,筋トレ定番
素材(追加),鶏もも(皮なし) 100g,g,100,g(10刻み),とりもも,転記,
素材(追加),鶏もも(皮つき) 100g,g,100,g(10刻み),とりももかわつき,転記,
素材(追加),鶏ひき肉 100g,g,100,g(10刻み),とりひき/鶏ミンチ,転記,
素材(追加),豚ひき肉 100g,g,100,g(10刻み),ぶたひき,転記,
素材(追加),牛ひき肉 100g,g,100,g(10刻み),ぎゅうひき,転記,
素材(追加),合いびき肉 100g,g,100,g(10刻み),あいびき,転記,
素材(追加),豚バラ 100g,g,100,g(10刻み),ぶたばら,転記,注意食材だが記録用
素材(追加),豚ロース 100g,g,100,g(10刻み),ぶたろーす,転記,
素材(追加),牛肩ロース 100g,g,100,g(10刻み),ぎゅうかたろーす,転記,
素材(追加),きゅうり 1本,本,100,本,きゅうり/胡瓜,転記,
素材(追加),レタス 100g,g,100,g(10刻み),れたす,転記,
素材(追加),大根 100g,g,100,g(10刻み),だいこん,転記,
素材(追加),白菜 100g,g,100,g(10刻み),はくさい,転記,
素材(追加),もやし 1袋,個,200,個,もやし,転記,
素材(追加),長ねぎ 1本,本,60,本,ねぎ,転記,
素材(追加),かぼちゃ 100g,g,100,g(10刻み),かぼちゃなま,転記,
素材(追加),れんこん 100g,g,100,g(10刻み),れんこん/蓮根,転記,
素材(追加),長芋 100g,g,100,g(10刻み),ながいも/山芋,転記,
のりレシピ,高たんぱくチーズケーキ 1切れ,個,80,個,ちーずけーき/のりちーず,積算(のりレシピ),レッスン+特典13(最強のチーズケーキ)
のりレシピ,ダイエットティラミス 1人前,人前,120,人前(0.5刻み),てぃらみす,積算(のりレシピ),レッスン+特典13
のりレシピ,プロテインチョコバナナパンケーキ 1人前,人前,200,人前(0.5刻み),ぱんけーき/ぷろてぱん,積算(のりレシピ),レッスン+特典13+14
のりレシピ,バナナチョコケーキ 1切れ,個,80,個,ばななちょこ,積算(のりレシピ),レッスン+特典13(炊飯器)
のりレシピ,プロテインチョコアイスケーキ 1人前,人前,100,人前(0.5刻み),あいすけーき,積算(のりレシピ),レッスン
のりレシピ,コーヒーゼリー(糖質ゼロ) 1個,個,120,個,こーひーぜりー,積算(のりレシピ),レッスン
のりレシピ,炊飯器かぼちゃケーキ 1切れ,個,80,個,かぼちゃけーき,積算(のりレシピ),レッスン
のりレシピ,腸活豆乳ヨーグルトボウル 1杯,杯,180,杯(0.5刻み),とうにゅうよーぐると,積算(のりレシピ),レッスン+特典14
のりレシピ,焼き餅ココア 1人前,人前,80,人前(0.5刻み),やきもちここあ,積算(のりレシピ),特典14
のりレシピ,オートミールクッキー 3枚,人前,45,人前(0.5刻み),おーとみーるくっきー,積算(のりレシピ),特典14
のりレシピ,ヘルシーチョコスプレッド 大さじ1,杯,15,杯,ちょこすぷれっど,積算(のりレシピ),特典14
のりレシピ,プロテインゼリー 1個,個,150,個,ぷろていんぜりー,積算(のりレシピ),特典14
のりレシピ,きなこ餅(食物繊維) 1人前,人前,100,人前(0.5刻み),きなこもち,積算(のりレシピ),特典09
のりレシピ,揚げないフライドポテト 1人前,人前,120,人前(0.5刻み),あげないぽてと,積算(のりレシピ),レッスン
のりレシピ,鶏むねと白滝の担々麺 1人前,人前,400,人前(0.5刻み),たんたんめん/しらたきたんたん,積算(のりレシピ),レッスン(100円レシピ)
のりレシピ,野菜カレー蕎麦 1人前,人前,400,人前(0.5刻み),かれーそば,積算(のりレシピ),レッスン(3食分)
のりレシピ,のり流野菜カレー 1人前,人前,300,人前(0.5刻み),やさいかれー/低脂質カレー,積算(のりレシピ),レッスン(作り置き)・ごはん別
のりレシピ,オートミールピザ 1枚,枚,150,枚(0.5刻み),おーとみーるぴざ,積算(のりレシピ),レッスン
のりレシピ,豆腐お好み焼き 1枚,枚,250,枚(0.5刻み),とうふおこのみ,積算(のりレシピ),レッスン(低糖質)
のりレシピ,5割麦ごはん 茶碗1杯,杯,150,杯(0.5刻み),むぎごはん,積算(のりレシピ),特典09
のりレシピ,玄米キムチ焼きめし 1人前,人前,300,人前(0.5刻み),きむちちゃーはん,積算(のりレシピ),レッスン(冷凍鍋2日目)
のりレシピ,栄養満点炊き込みご飯 茶碗1杯,杯,180,杯(0.5刻み),たきこみごはん,積算(のりレシピ),レッスン(冷凍鍋4日目)
のりレシピ,牛モモチャーハン 1人前,人前,300,人前(0.5刻み),ぎゅうももちゃーはん,積算(のりレシピ),レッスン(おかず5)
のりレシピ,オートミール豆乳卵雑炊 1杯,杯,300,杯(0.5刻み),おーつぞうすい,積算(のりレシピ),特典18
のりレシピ,サバ水煮缶の焼うどん 1人前,人前,350,人前(0.5刻み),さばやきうどん,積算(のりレシピ),特典17
のりレシピ,卵のあんかけ野菜うどん 1人前,人前,450,人前(0.5刻み),あんかけうどん,積算(のりレシピ),特典17
のりレシピ,麻薬鶏むねチャーシュー 1人前,人前,120,人前(0.5刻み),ちゃーしゅー/まやくちきん,積算(のりレシピ),レッスン+特典09
のりレシピ,豚ひれチャーシュー 1人前,人前,120,人前(0.5刻み),ぶたひれちゃーしゅー,積算(のりレシピ),レッスン+特典09
のりレシピ,鶏むね麻婆豆腐 1人前,人前,220,人前(0.5刻み),むねまーぼー,積算(のりレシピ),レッスン
のりレシピ,鶏むねの焼きつくね 1人前,人前,120,人前(0.5刻み),やきつくね,積算(のりレシピ),レッスン
のりレシピ,マグロアボカド 1人前,人前,120,人前(0.5刻み),まぐろあぼかど,積算(のりレシピ),特典09
のりレシピ,のり流卵焼き 2切れ,人前,80,人前(0.5刻み),のりたまごやき,積算(のりレシピ),特典09
のりレシピ,キクラゲときゅうりの中華風リンゴ酢和え 1人前,人前,100,人前(0.5刻み),きくらげきゅうり,積算(のりレシピ),特典15
のりレシピ,鶏むねとキクラゲのリンゴ酢蒸し 1人前,人前,180,人前(0.5刻み),きくらげむし,積算(のりレシピ),特典15
のりレシピ,キクラゲと豚もものスタミナ炒め 1人前,人前,180,人前(0.5刻み),きくらげすたみな,積算(のりレシピ),特典15
のりレシピ,キクラゲと豚もも・キムチの韓国風炒め 1人前,人前,180,人前(0.5刻み),きくらげきむち,積算(のりレシピ),特典15
のりレシピ,キクラゲと鶏むね・パプリカの甘酢炒め 1人前,人前,180,人前(0.5刻み),きくらげあまず,積算(のりレシピ),特典15
のりレシピ,鶏むねとブロッコリーの塩炒め 1人前,人前,180,人前(0.5刻み),むねぶろっこりー,積算(のりレシピ),特典18
のりレシピ,大豆ミートと卵白のオムレツ風 1人前,人前,150,人前(0.5刻み),そいおむれつ,積算(のりレシピ),特典18
のりレシピ,タラの蒸し焼きポン酢おろし 1人前,人前,150,人前(0.5刻み),たらぽんず,積算(のりレシピ),特典18
のりレシピ,ささみと枝豆のねぎ塩レンジ蒸し 1人前,人前,150,人前(0.5刻み),ささみねぎしお,積算(のりレシピ),特典18
のりレシピ,そば納豆チキンサラダ 1人前,人前,300,人前(0.5刻み),そばさらだ,積算(のりレシピ),特典18
のりレシピ,ライ麦パン×オイコス×ツナ 1人前,人前,180,人前(0.5刻み),らいむぎおいこす,積算(のりレシピ),特典18
のりレシピ,ダイエットスープ 1杯,杯,300,杯(0.5刻み),だいえっとすーぷ,積算(のりレシピ),レッスン(6食分作り置き)
のりレシピ,1日分の野菜味噌汁 1杯,杯,300,杯(0.5刻み),やさいみそしる,積算(のりレシピ),特典09
のりレシピ,キクラゲと卵のリンゴ酢中華スープ 1杯,杯,250,杯(0.5刻み),きくらげすーぷ,積算(のりレシピ),特典15
のりレシピ,サバ缶キムチ鍋 1人前,人前,400,人前(0.5刻み),さばきむちなべ,積算(のりレシピ),特典17
のりレシピ,鮭ときのこの味噌鍋 1人前,人前,400,人前(0.5刻み),さけみそなべ,積算(のりレシピ),特典17
のりレシピ,豆乳鍋 1人前,人前,400,人前(0.5刻み),とうにゅうなべ,積算(のりレシピ),特典17
のりレシピ,のり流味噌鍋 1人前,人前,400,人前(0.5刻み),みそなべ,積算(のりレシピ),特典17
のりレシピ,かぼちゃと鶏モモ煮 1人前,人前,250,人前(0.5刻み),かぼちゃとりもも,積算(のりレシピ),レッスン(冷凍鍋6日目)
のりレシピ,レモン炭酸水 1杯,杯,200,杯,れもんたんさん,積算(のりレシピ),特典10
のりレシピ,イヌリン水 1杯,杯,200,杯,いぬりん,積算(のりレシピ),特典10
のりレシピ,リンゴ酢炭酸水 1杯,杯,200,杯,りんごすたんさん,積算(のりレシピ),特典10
のりレシピ,ブラックコーヒー+MCTオイル 1杯,杯,150,杯,MCT/えむしーてぃー,積算(のりレシピ),特典10
のりレシピ,梅干し炭酸水 1杯,杯,200,杯,うめたんさん,積算(のりレシピ),特典15
ダイエット定番,オートミール米化 1食,個,105,個(0.5刻み),べいか/おこめか,積算,乾30g+水・レンジ
ダイエット定番,オーバーナイトオーツ 1杯,杯,180,杯(0.5刻み),おーばーないと,積算,オーツ40g+豆乳/ヨーグルト
ダイエット定番,オートミール蒸しパン 1個,個,120,個,むしぱん,積算,
ダイエット定番,プロテインオートミール 1杯,杯,200,杯(0.5刻み),ぷろておーつ,積算,
ダイエット定番,おから蒸しパン 1個,個,120,個,おからむしぱん,積算,
ダイエット定番,おからパウダー 大さじ2,杯,12,杯,おからぱうだー,転記,
ダイエット定番,鶏ハム 1人前,人前,100,人前(0.5刻み),とりはむ/自家製サラダチキン,積算,
ダイエット定番,鶏むねそぼろ 1人前,人前,80,人前(0.5刻み),むねそぼろ,積算,作り置き定番
ダイエット定番,沼 1食,人前,400,人前(0.5刻み),ぬま,積算,筋トレ民定番(鶏むね+米+野菜の炊飯器粥)
ダイエット定番,マグマ 1食,人前,400,人前(0.5刻み),まぐま,積算,沼のトマト版
ダイエット定番,鶏むね+ブロッコリー+玄米弁当 1食,人前,350,人前(0.5刻み),きんとれべんとう/ミールプレップ,積算,筋トレ弁当の定番形
ダイエット定番,脂肪燃焼スープ 1杯,杯,300,杯(0.5刻み),しぼうねんしょう/デトックススープ,積算,野菜たっぷり
ダイエット定番,糖質0麺 1袋,個,180,個,とうしつぜろめん,市販平均,
ダイエット定番,こんにゃく麺 1袋,個,150,個,こんにゃくめん,市販平均,
ダイエット定番,豆腐そうめん 1パック,個,150,個,とうふそうめん,市販平均,
ダイエット定番,カリフラワーライス 1食,個,150,個,かりふらわーらいす,市販平均,
ダイエット定番,ブランパン 1個,個,45,個,ぶらんぱん,市販平均,
ダイエット定番,低糖質パン 1個,個,50,個,ていとうしつぱん/ロカボパン,市販平均,
ダイエット定番,全粒粉パスタ(ゆで) 1人前,人前,220,人前(0.5刻み),ぜんりゅうふんぱすた,転記,ソース別
ダイエット定番,パワーサラダ 1皿,人前,300,人前(0.5刻み),ぱわーさらだ,積算,チキン+卵+野菜+ナッツ
ダイエット定番,サラダボウル(玄米入り) 1皿,人前,350,人前(0.5刻み),さらだぼうる,積算,
ダイエット定番,豆腐サラダ 1皿,人前,200,人前(0.5刻み),とうふさらだ,積算,
ダイエット定番,温野菜(蒸し野菜) 1皿,人前,150,人前(0.5刻み),おんやさい/むしやさい,積算,
ダイエット定番,納豆キムチ豆腐 1人前,人前,200,人前(0.5刻み),なっとうきむち,積算,定番の組み合わせ
ダイエット定番,塩昆布キャベツ 小鉢1,人前,80,人前(0.5刻み),しおこんぶきゃべつ,積算,
ダイエット定番,酢キャベツ 小鉢1,人前,80,人前(0.5刻み),すきゃべつ,積算,
ダイエット定番,無限ピーマン 小鉢1,人前,80,人前(0.5刻み),むげんぴーまん,積算,
ダイエット定番,サラダフィッシュ 1袋,個,70,個,さらだふぃっしゅ,市販平均,
ダイエット定番,ヨーグルトバーク 1人前,人前,100,人前(0.5刻み),よーぐるとばーく,積算,
ダイエット定番,冷凍フルーツミックス 1人前,人前,100,人前(0.5刻み),れいとうふるーつ,転記,
ダイエット定番,寒天ゼリー(0kcal系) 1個,個,200,個,かんてんぜりー/ゼロカロリーゼリー,市販平均,
ダイエット定番,ハイカカオチョコ(72%) 1かけ,個,5,個,はいかかお,市販平均,
ダイエット定番,甘栗 1袋,個,80,個,あまぐり,転記,
ダイエット定番,ソイジョイ 1本,本,30,本,そいじょい,市販平均,
ダイエット定番,プロテイン(ソイ) 1杯,杯,30,杯,そいぷろてん,市販平均,既存WPCと対
ダイエット定番,炭酸水(無糖) 1本,本,500,本,たんさんすい,転記,0kcal
ダイエット定番,トマトジュース(無塩) 1本,本,200,本,とまとじゅーす,転記,
ダイエット定番,アーモンドミルク(無糖) コップ1杯,杯,200,杯(0.5刻み),あーもんどみるく,市販平均,
